Date,Location,Classification,Count
02/29/2020,Bronx,Cases,0
03/01/2020,Bronx,Cases,0
03/02/2020,Bronx,Cases,0
03/03/2020,Bronx,Cases,0
03/04/2020,Bronx,Cases,0
03/05/2020,Bronx,Cases,0
03/06/2020,Bronx,Cases,2
03/07/2020,Bronx,Cases,0
03/08/2020,Bronx,Cases,3
03/09/2020,Bronx,Cases,4
03/10/2020,Bronx,Cases,8
03/11/2020,Bronx,Cases,19
03/12/2020,Bronx,Cases,29
03/13/2020,Bronx,Cases,79
03/14/2020,Bronx,Cases,86
03/15/2020,Bronx,Cases,119
03/16/2020,Bronx,Cases,305
03/17/2020,Bronx,Cases,343
03/18/2020,Bronx,Cases,482
03/19/2020,Bronx,Cases,623
03/20/2020,Bronx,Cases,723
03/21/2020,Bronx,Cases,491
03/22/2020,Bronx,Cases,495
03/23/2020,Bronx,Cases,730
03/24/2020,Bronx,Cases,927
03/25/2020,Bronx,Cases,1068
03/26/2020,Bronx,Cases,998
03/27/2020,Bronx,Cases,1090
03/28/2020,Bronx,Cases,761
03/29/2020,Bronx,Cases,699
03/30/2020,Bronx,Cases,1315
03/31/2020,Bronx,Cases,1282
04/01/2020,Bronx,Cases,1240
04/02/2020,Bronx,Cases,1289
04/03/2020,Bronx,Cases,1452
04/04/2020,Bronx,Cases,1012
04/05/2020,Bronx,Cases,822
04/06/2020,Bronx,Cases,1514
04/07/2020,Bronx,Cases,1463
04/08/2020,Bronx,Cases,1305
04/09/2020,Bronx,Cases,1285
04/10/2020,Bronx,Cases,1227
04/11/2020,Bronx,Cases,998
04/12/2020,Bronx,Cases,763
04/13/2020,Bronx,Cases,693
04/14/2020,Bronx,Cases,1076
04/15/2020,Bronx,Cases,1068
04/16/2020,Bronx,Cases,940
04/17/2020,Bronx,Cases,916
04/18/2020,Bronx,Cases,552
04/19/2020,Bronx,Cases,532
04/20/2020,Bronx,Cases,981
04/21/2020,Bronx,Cases,641
04/22/2020,Bronx,Cases,927
04/23/2020,Bronx,Cases,735
04/24/2020,Bronx,Cases,579
04/25/2020,Bronx,Cases,418
04/26/2020,Bronx,Cases,196
04/27/2020,Bronx,Cases,551
04/28/2020,Bronx,Cases,668
04/29/2020,Bronx,Cases,557
04/30/2020,Bronx,Cases,482
05/01/2020,Bronx,Cases,450
05/02/2020,Bronx,Cases,263
05/03/2020,Bronx,Cases,153
05/04/2020,Bronx,Cases,349
05/05/2020,Bronx,Cases,294
05/06/2020,Bronx,Cases,279
05/07/2020,Bronx,Cases,298
05/08/2020,Bronx,Cases,250
05/09/2020,Bronx,Cases,175
05/10/2020,Bronx,Cases,75
05/11/2020,Bronx,Cases,226
05/12/2020,Bronx,Cases,355
05/13/2020,Bronx,Cases,461
05/14/2020,Bronx,Cases,256
05/15/2020,Bronx,Cases,181
05/16/2020,Bronx,Cases,108
05/17/2020,Bronx,Cases,56
05/18/2020,Bronx,Cases,187
05/19/2020,Bronx,Cases,182
05/20/2020,Bronx,Cases,278
05/21/2020,Bronx,Cases,199
05/22/2020,Bronx,Cases,264
05/23/2020,Bronx,Cases,90
05/24/2020,Bronx,Cases,101
05/25/2020,Bronx,Cases,103
05/26/2020,Bronx,Cases,283
05/27/2020,Bronx,Cases,184
05/28/2020,Bronx,Cases,119
05/29/2020,Bronx,Cases,164
05/30/2020,Bronx,Cases,82
05/31/2020,Bronx,Cases,30
06/01/2020,Bronx,Cases,158
06/02/2020,Bronx,Cases,123
06/03/2020,Bronx,Cases,116
06/04/2020,Bronx,Cases,127
06/05/2020,Bronx,Cases,108
06/06/2020,Bronx,Cases,50
06/07/2020,Bronx,Cases,43
06/08/2020,Bronx,Cases,96
06/09/2020,Bronx,Cases,84
06/10/2020,Bronx,Cases,75
06/11/2020,Bronx,Cases,66
06/12/2020,Bronx,Cases,80
06/13/2020,Bronx,Cases,47
06/14/2020,Bronx,Cases,27
06/15/2020,Bronx,Cases,81
06/16/2020,Bronx,Cases,80
06/17/2020,Bronx,Cases,68
06/18/2020,Bronx,Cases,60
06/19/2020,Bronx,Cases,82
06/20/2020,Bronx,Cases,53
06/21/2020,Bronx,Cases,25
06/22/2020,Bronx,Cases,92
06/23/2020,Bronx,Cases,73
06/24/2020,Bronx,Cases,90
06/25/2020,Bronx,Cases,65
06/26/2020,Bronx,Cases,66
06/27/2020,Bronx,Cases,26
06/28/2020,Bronx,Cases,35
06/29/2020,Bronx,Cases,75
06/30/2020,Bronx,Cases,77
07/01/2020,Bronx,Cases,59
07/02/2020,Bronx,Cases,76
07/03/2020,Bronx,Cases,41
07/04/2020,Bronx,Cases,21
07/05/2020,Bronx,Cases,20
07/06/2020,Bronx,Cases,68
07/07/2020,Bronx,Cases,112
07/08/2020,Bronx,Cases,83
07/09/2020,Bronx,Cases,91
07/10/2020,Bronx,Cases,65
07/11/2020,Bronx,Cases,40
07/12/2020,Bronx,Cases,44
07/13/2020,Bronx,Cases,108
07/14/2020,Bronx,Cases,70
07/15/2020,Bronx,Cases,107
07/16/2020,Bronx,Cases,94
07/17/2020,Bronx,Cases,75
07/18/2020,Bronx,Cases,54
07/19/2020,Bronx,Cases,39
07/20/2020,Bronx,Cases,95
07/21/2020,Bronx,Cases,71
07/22/2020,Bronx,Cases,79
07/23/2020,Bronx,Cases,69
07/24/2020,Bronx,Cases,73
07/25/2020,Bronx,Cases,25
07/26/2020,Bronx,Cases,30
07/27/2020,Bronx,Cases,58
07/28/2020,Bronx,Cases,58
07/29/2020,Bronx,Cases,80
07/30/2020,Bronx,Cases,58
07/31/2020,Bronx,Cases,55
08/01/2020,Bronx,Cases,37
08/02/2020,Bronx,Cases,30
08/03/2020,Bronx,Cases,96
08/04/2020,Bronx,Cases,47
08/05/2020,Bronx,Cases,66
08/06/2020,Bronx,Cases,65
08/07/2020,Bronx,Cases,53
08/08/2020,Bronx,Cases,30
08/09/2020,Bronx,Cases,19
08/10/2020,Bronx,Cases,89
08/11/2020,Bronx,Cases,70
08/12/2020,Bronx,Cases,59
08/13/2020,Bronx,Cases,61
08/14/2020,Bronx,Cases,68
08/15/2020,Bronx,Cases,42
08/16/2020,Bronx,Cases,23
08/17/2020,Bronx,Cases,71
08/18/2020,Bronx,Cases,55
08/19/2020,Bronx,Cases,50
08/20/2020,Bronx,Cases,64
08/21/2020,Bronx,Cases,52
08/22/2020,Bronx,Cases,29
08/23/2020,Bronx,Cases,32
08/24/2020,Bronx,Cases,64
08/25/2020,Bronx,Cases,64
08/26/2020,Bronx,Cases,64
08/27/2020,Bronx,Cases,53
08/28/2020,Bronx,Cases,77
08/29/2020,Bronx,Cases,28
08/30/2020,Bronx,Cases,20
08/31/2020,Bronx,Cases,46
09/01/2020,Bronx,Cases,52
09/02/2020,Bronx,Cases,42
09/03/2020,Bronx,Cases,40
09/04/2020,Bronx,Cases,44
09/05/2020,Bronx,Cases,30
09/06/2020,Bronx,Cases,18
09/07/2020,Bronx,Cases,32
09/08/2020,Bronx,Cases,81
09/09/2020,Bronx,Cases,56
09/10/2020,Bronx,Cases,45
09/11/2020,Bronx,Cases,55
09/12/2020,Bronx,Cases,35
09/13/2020,Bronx,Cases,19
09/14/2020,Bronx,Cases,75
09/15/2020,Bronx,Cases,62
09/16/2020,Bronx,Cases,60
09/17/2020,Bronx,Cases,61
09/18/2020,Bronx,Cases,45
09/19/2020,Bronx,Cases,30
09/20/2020,Bronx,Cases,32
09/21/2020,Bronx,Cases,73
09/22/2020,Bronx,Cases,67
09/23/2020,Bronx,Cases,89
09/24/2020,Bronx,Cases,71
09/25/2020,Bronx,Cases,49
09/26/2020,Bronx,Cases,42
09/27/2020,Bronx,Cases,32
09/28/2020,Bronx,Cases,82
09/29/2020,Bronx,Cases,65
09/30/2020,Bronx,Cases,52
10/01/2020,Bronx,Cases,82
10/02/2020,Bronx,Cases,80
10/03/2020,Bronx,Cases,34
10/04/2020,Bronx,Cases,34
10/05/2020,Bronx,Cases,94
10/06/2020,Bronx,Cases,67
10/07/2020,Bronx,Cases,75
10/08/2020,Bronx,Cases,83
10/09/2020,Bronx,Cases,92
10/10/2020,Bronx,Cases,36
10/11/2020,Bronx,Cases,38
10/12/2020,Bronx,Cases,53
10/13/2020,Bronx,Cases,91
10/14/2020,Bronx,Cases,89
10/15/2020,Bronx,Cases,91
10/16/2020,Bronx,Cases,78
10/17/2020,Bronx,Cases,64
10/18/2020,Bronx,Cases,45
10/19/2020,Bronx,Cases,107
10/20/2020,Bronx,Cases,91
10/21/2020,Bronx,Cases,96
10/22/2020,Bronx,Cases,122
10/23/2020,Bronx,Cases,115
10/24/2020,Bronx,Cases,73
10/25/2020,Bronx,Cases,67
10/26/2020,Bronx,Cases,132
